name,density,surface_tension,dynamic_viscosity,kinematic_viscosity
1-3-Butanediol_0.66,1000.98,0.055804,0.019855367,1.98359E-05
1-3-Butanediol_0.67,1001.01,0.055548,0.020811796,2.07908E-05
1-3-Butanediol_0.68,1001.04,0.055292,0.021814296,2.17916E-05
1-3-Butanediol_0.69,1001.07,0.055036,0.022865085,2.28406E-05
1-3-Butanediol_0.7,1001.1,0.05478,0.023966492,2.39402E-05
1-3-Butanediol_0.71,1001.13,0.054524,0.025120952,2.50926E-05
1-3-Butanediol_0.72,1001.16,0.054268,0.026331023,2.63005E-05
1-3-Butanediol_0.73,1001.19,0.054012,0.027599383,2.75666E-05
1-3-Butanediol_0.74,1001.22,0.053756,0.028928839,2.88936E-05
1-3-Butanediol_0.75,1001.25,0.0535,0.030322335,3.02845E-05
1-3-Butanediol_0.76,1001.28,0.053244,0.031782955,3.17423E-05
1-3-Butanediol_0.77,1001.31,0.052988,0.033313933,3.32703E-05
1-3-Butanediol_0.78,1001.34,0.052732,0.034918658,3.48719E-05
1-3-Butanediol_0.79,1001.37,0.052476,0.036600682,3.65506E-05
1-3-Butanediol_0.8,1001.4,0.05222,0.038363729,3.83101E-05
1-3-Butanediol_0.81,1001.43,0.051964,0.040211702,4.01543E-05
1-3-Butanediol_0.82,1001.46,0.051708,0.04214869,4.20872E-05
1-3-Butanediol_0.83,1001.49,0.051452,0.044178984,4.41133E-05
1-3-Butanediol_0.84,1001.52,0.051196,0.046307076,4.62368E-05
1-3-Butanediol_0.85,1001.55,0.05094,0.048537677,4.84626E-05
1-3-Butanediol_0.86,1001.58,0.050684,0.050875727,5.07955E-05
1-3-Butanediol_0.87,1001.61,0.050428,0.053326399,5.32407E-05
1-3-Butanediol_0.88,1001.64,0.050172,0.05589512,5.58036E-05
1-3-Butanediol_0.89,1001.67,0.049916,0.058587576,5.84899E-05
1-3-Butanediol_0.9,1001.7,0.04966,0.061409727,6.13055E-05
1-3-Butanediol_0.91,1001.73,0.049404,0.06436782,6.42567E-05
1-3-Butanediol_0.92,1001.76,0.049148,0.067468404,6.73499E-05
1-3-Butanediol_0.93,1001.79,0.048892,0.070718342,7.0592E-05
1-3-Butanediol_0.94,1001.82,0.048636,0.074124829,7.39902E-05
1-3-Butanediol_0.95,1001.85,0.04838,0.077695406,7.75519E-05
1-3-Butanediol_0.96,1001.88,0.048124,0.081437977,8.12852E-05
1-3-Butanediol_0.97,1001.91,0.047868,0.085360827,8.51981E-05
1-3-Butanediol_0.98,1001.94,0.047612,0.089472639,8.92994E-05
1-3-Butanediol_0.99,1001.97,0.047356,0.093782517,9.35981E-05
Triethanolamine_0.01,1000.21,0.072488,0.000950041,9.49841E-07
Triethanolamine_0.02,1001.42,0.072276,0.001014132,1.01269E-06
Triethanolamine_0.03,1002.63,0.072064,0.001082547,1.07971E-06
Triethanolamine_0.04,1003.84,0.071852,0.001155578,1.15116E-06
Triethanolamine_0.05,1005.05,0.07164,0.001233535,1.22734E-06
Triethanolamine_0.06,1006.26,0.071428,0.001316751,1.30856E-06
Triethanolamine_0.07,1007.47,0.071216,0.001405581,1.39516E-06
Triethanolamine_0.08,1008.68,0.071004,0.001500404,1.48749E-06
Triethanolamine_0.09,1009.89,0.070792,0.001601624,1.58594E-06
Triethanolamine_0.1,1011.1,0.07058,0.001709672,1.6909E-06
Triethanolamine_0.11,1012.31,0.070368,0.001825009,1.80282E-06
Triethanolamine_0.12,1013.52,0.070156,0.001948127,1.92214E-06
Triethanolamine_0.13,1014.73,0.069944,0.002079551,2.04936E-06
Triethanolamine_0.14,1015.94,0.069732,0.002219841,2.18501E-06
Triethanolamine_0.15,1017.15,0.06952,0.002369595,2.32964E-06
Triethanolamine_0.16,1018.36,0.069308,0.002529452,2.48385E-06
Triethanolamine_0.17,1019.57,0.069096,0.002700093,2.64827E-06
Triethanolamine_0.18,1020.78,0.068884,0.002882245,2.82357E-06
Triethanolamine_0.19,1021.99,0.068672,0.003076686,3.01049E-06
Triethanolamine_0.2,1023.2,0.06846,0.003284244,3.20978E-06
Triethanolamine_0.21,1024.41,0.068248,0.003505805,3.42227E-06
Triethanolamine_0.22,1025.62,0.068036,0.003742312,3.64883E-06
Triethanolamine_0.23,1026.83,0.067824,0.003994775,3.8904E-06
Triethanolamine_0.24,1028.04,0.067612,0.004264269,4.14796E-06
Triethanolamine_0.25,1029.25,0.0674,0.004551943,4.42258E-06
Triethanolamine_0.26,1030.46,0.067188,0.004859025,4.71539E-06
Triethanolamine_0.27,1031.67,0.066976,0.005186822,5.0276E-06
Triethanolamine_0.28,1032.88,0.066764,0.005536734,5.36048E-06
Triethanolamine_0.29,1034.09,0.066552,0.005910251,5.71541E-06
Triethanolamine_0.3,1035.3,0.06634,0.006308966,6.09385E-06
Triethanolamine_0.31,1036.51,0.066128,0.006734579,6.49736E-06
Triethanolamine_0.32,1037.72,0.065916,0.007188905,6.9276E-06
Triethanolamine_0.33,1038.93,0.065704,0.00767388,7.38633E-06
Triethanolamine_0.34,1040.14,0.065492,0.008191573,7.87545E-06
Triethanolamine_0.35,1041.35,0.06528,0.008744189,8.39697E-06
Triethanolamine_0.36,1042.56,0.065068,0.009334087,8.95305E-06
Triethanolamine_0.37,1043.77,0.064856,0.009963779,9.54595E-06
Triethanolamine_0.38,1044.98,0.064644,0.010635952,1.01781E-05
Triethanolamine_0.39,1046.19,0.064432,0.011353471,1.08522E-05
Triethanolamine_0.4,1047.4,0.06422,0.012119394,1.15709E-05
Triethanolamine_0.41,1048.61,0.064008,0.012936989,1.23373E-05
Triethanolamine_0.42,1049.82,0.063796,0.013809739,1.31544E-05
Triethanolamine_0.43,1051.03,0.063584,0.014741366,1.40256E-05
Triethanolamine_0.44,1052.24,0.063372,0.015735843,1.49546E-05
Triethanolamine_0.45,1053.45,0.06316,0.016797409,1.59451E-05
Triethanolamine_0.46,1054.66,0.062948,0.017930589,1.70013E-05
Triethanolamine_0.47,1055.87,0.062736,0.019140216,1.81274E-05
Triethanolamine_0.48,1057.08,0.062524,0.020431446,1.93282E-05
Triethanolamine_0.49,1058.29,0.062312,0.021809785,2.06085E-05
Triethanolamine_0.5,1059.5,0.0621,0.023281108,2.19737E-05
Triethanolamine_0.51,1060.71,0.061888,0.02485169,2.34293E-05
Triethanolamine_0.52,1061.92,0.061676,0.026528225,2.49814E-05
Triethanolamine_0.53,1063.13,0.061464,0.028317862,2.66363E-05
Triethanolamine_0.54,1064.34,0.061252,0.030228232,2.84009E-05
Triethanolamine_0.55,1065.55,0.06104,0.032267477,3.02825E-05
Triethanolamine_0.56,1066.76,0.060828,0.034444294,3.22887E-05
Triethanolamine_0.57,1067.97,0.060616,0.036767962,3.44279E-05
Triethanolamine_0.58,1069.18,0.060404,0.039248389,3.67089E-05
Triethanolamine_0.59,1070.39,0.060192,0.041896149,3.9141E-05
Triethanolamine_0.6,1071.6,0.05998,0.044722531,4.17344E-05
Triethanolamine_0.61,1072.81,0.059768,0.047739586,4.44996E-05
Triethanolamine_0.62,1074.02,0.059556,0.050960177,4.74481E-05
Triethanolamine_0.63,1075.23,0.059344,0.054398033,5.0592E-05
Triethanolamine_0.64,1076.44,0.059132,0.058067813,5.39443E-05
Triethanolamine_0.65,1077.65,0.05892,0.061985162,5.75188E-05
Triethanolamine_0.66,1078.86,0.058708,0.066166782,6.13303E-05
Triethanolamine_0.67,1080.07,0.058496,0.070630501,6.53944E-05
Triethanolamine_0.68,1081.28,0.058284,0.07539535,6.97279E-05
Triethanolamine_0.69,1082.49,0.058072,0.080481643,7.43486E-05
Triethanolamine_0.7,1083.7,0.05786,0.085911066,7.92757E-05
Triethanolamine_0.71,1084.91,0.057648,0.091706766,8.45294E-05
Triethanolamine_0.72,1086.12,0.057436,0.097893454,9.01313E-05
Triethanolamine_0.73,1087.33,0.057224,0.104497506,9.61047E-05
Triethanolamine_0.74,1088.54,0.057012,0.111547078,0.000102474
Triethanolamine_0.75,1089.75,0.0568,0.119072226,0.000109266
Triethanolamine_0.76,1090.96,0.056588,0.127105032,0.000116508
Triethanolamine_0.77,1092.17,0.056376,0.135679744,0.00012423
Triethanolamine_0.78,1093.38,0.056164,0.144832921,0.000132463
Triethanolamine_0.79,1094.59,0.055952,0.154603586,0.000141243
Triethanolamine_0.8,1095.8,0.05574,0.165033396,0.000150605
Triethanolamine_0.81,1097.01,0.055528,0.176166817,0.000160588
Triethanolamine_0.82,1098.22,0.055316,0.188051318,0.000171233
Triethanolamine_0.83,1099.43,0.055104,0.200737566,0.000182583
Triethanolamine_0.84,1100.64,0.054892,0.214279649,0.000194686
Triethanolamine_0.85,1101.85,0.05468,0.228735304,0.000207592
Triethanolamine_0.86,1103.06,0.054468,0.24416616,0.000221353
Triethanolamine_0.87,1104.27,0.054256,0.260638007,0.000236027
Triethanolamine_0.88,1105.48,0.054044,0.278221071,0.000251674
Triethanolamine_0.89,1106.69,0.053832,0.296990318,0.000268359
Triethanolamine_0.9,1107.9,0.05362,0.317025769,0.00028615
Triethanolamine_0.91,1109.11,0.053408,0.338412843,0.000305121
Triethanolamine_0.92,1110.32,0.053196,0.361242725,0.00032535
Triethanolamine_0.93,1111.53,0.052984,0.385612748,0.000346921
Triethanolamine_0.94,1112.74,0.052772,0.411626812,0.000369922
Triethanolamine_0.95,1113.95,0.05256,0.439395827,0.000394448
Triethanolamine_0.96,1115.16,0.052348,0.469038186,0.000420602
Triethanolamine_0.97,1116.37,0.052136,0.500680266,0.00044849
Triethanolamine_0.98,1117.58,0.051924,0.534456972,0.000478227
Triethanolamine_0.99,1118.79,0.051712,0.57051231,0.000509937
Glycerol_0.01,1001.58,0.072735,0.000954112,9.52607E-07
Glycerol_0.02,1004.16,0.07277,0.001022843,1.01861E-06
Glycerol_0.03,1006.74,0.072805,0.001096525,1.08918E-06
Glycerol_0.04,1009.32,0.07284,0.001175515,1.16466E-06
Glycerol_0.05,1011.9,0.072875,0.001260195,1.24538E-06
Glycerol_0.06,1014.48,0.07291,0.001350975,1.33169E-06
Glycerol_0.07,1017.06,0.072945,0.001448295,1.424E-06
Glycerol_0.08,1019.64,0.07298,0.001552625,1.52272E-06
Glycerol_0.09,1022.22,0.073015,0.001664471,1.62829E-06
Glycerol_0.1,1024.8,0.07305,0.001784373,1.74119E-06
Glycerol_0.11,1027.38,0.073085,0.001912913,1.86193E-06
Glycerol_0.12,1029.96,0.07312,0.002050713,1.99106E-06
Glycerol_0.13,1032.54,0.073155,0.002198439,2.12916E-06
Glycerol_0.14,1035.12,0.07319,0.002356807,2.27684E-06
Glycerol_0.15,1037.7,0.073225,0.002526583,2.43479E-06
Glycerol_0.16,1040.28,0.07326,0.002708589,2.60371E-06
Glycerol_0.17,1042.86,0.073295,0.002903706,2.78437E-06
Glycerol_0.18,1045.44,0.07333,0.003112879,2.97758E-06
Glycerol_0.19,1048.02,0.073365,0.00333712,3.18421E-06
Glycerol_0.2,1050.6,0.0734,0.003577514,3.40521E-06
Glycerol_0.21,1053.18,0.073435,0.003835226,3.64157E-06
Glycerol_0.22,1055.76,0.07347,0.004111502,3.89435E-06
Glycerol_0.23,1058.34,0.073505,0.00440768,4.16471E-06
Glycerol_0.24,1060.92,0.07354,0.004725194,4.45386E-06
Glycerol_0.25,1063.5,0.073575,0.005065581,4.76312E-06
Glycerol_0.26,1066.08,0.07361,0.005430487,5.09388E-06
Glycerol_0.27,1068.66,0.073645,0.00582168,5.44765E-06
Glycerol_0.28,1071.24,0.07368,0.006241054,5.82601E-06
Glycerol_0.29,1073.82,0.073715,0.006690637,6.23069E-06
Glycerol_0.3,1076.4,0.07375,0.007172608,6.66351E-06
Glycerol_0.31,1078.98,0.073785,0.007689297,7.12645E-06
Glycerol_0.32,1081.56,0.07382,0.008243207,7.62159E-06
Glycerol_0.33,1084.14,0.073855,0.008837019,8.15118E-06
Glycerol_0.34,1086.72,0.07389,0.009473607,8.71761E-06
Glycerol_0.35,1089.3,0.073925,0.010156052,9.32347E-06
Glycerol_0.36,1091.88,0.07396,0.010887658,9.97148E-06
Glycerol_0.37,1094.46,0.073995,0.011671967,1.06646E-05
Glycerol_0.38,1097.04,0.07403,0.012512774,1.14059E-05
Glycerol_0.39,1099.62,0.074065,0.013414151,1.21989E-05
Glycerol_0.4,1102.2,0.0741,0.014380459,1.30471E-05
Glycerol_0.41,1104.78,0.074135,0.015416377,1.39543E-05
Glycerol_0.42,1107.36,0.07417,0.016526919,1.49246E-05
Glycerol_0.43,1109.94,0.074205,0.01771746,1.59625E-05
Glycerol_0.44,1112.52,0.07424,0.018993764,1.70727E-05
Glycerol_0.45,1115.1,0.074275,0.020362008,1.82603E-05
Glycerol_0.46,1117.68,0.07431,0.021828815,1.95305E-05
Glycerol_0.47,1120.26,0.074345,0.023401287,2.08892E-05
Glycerol_0.48,1122.84,0.07438,0.025087033,2.23425E-05
Glycerol_0.49,1125.42,0.074415,0.026894215,2.3897E-05
Glycerol_0.5,1128,0.07445,0.02883158,2.55599E-05
Glycerol_0.51,1130.58,0.074485,0.030908506,2.73386E-05
Glycerol_0.52,1133.16,0.07452,0.033135046,2.92413E-05
Glycerol_0.53,1135.74,0.074555,0.035521979,3.12765E-05
Glycerol_0.54,1138.32,0.07459,0.038080857,3.34536E-05
Glycerol_0.55,1140.9,0.074625,0.040824069,3.57823E-05
Glycerol_0.56,1143.48,0.07466,0.043764891,3.82734E-05
Glycerol_0.57,1146.06,0.074695,0.04691756,4.09381E-05
Glycerol_0.58,1148.64,0.07473,0.050297337,4.37886E-05
Glycerol_0.59,1151.22,0.074765,0.053920581,4.68378E-05
Glycerol_0.6,1153.8,0.0748,0.05780483,5.00995E-05
Glycerol_0.61,1156.38,0.074835,0.061968887,5.35887E-05
Glycerol_0.62,1158.96,0.07487,0.066432908,5.73211E-05
Glycerol_0.63,1161.54,0.074905,0.071218502,6.13139E-05
Glycerol_0.64,1164.12,0.07494,0.076348833,6.5585E-05
